Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,School,IPEDS_ID,Languages,Devices_available,Accessibility,Clients,Public,Programslist
Auburn Library,King,King County Library System,Library,1140 Auburn Way South,Auburn,,98002,US,32.770816,-117.192073, University of San Diego,122436,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Architectural History and Criticism (General), Ethnic Studies, Biochemistry, Biology/Biological Sciences (General), Biophysics, Neuroscience, Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Finance (General), International Business/Trade/Commerce, Logistics/Materials/Supply Chain Management, Marketing/Marketing Management (General), Real Estate, Taxation, Communication (General), Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Curriculum and Instruction, Education (General), Educational Administration and Supervision (Other), Educational Leadership and Administration (General), Higher Education/Higher Education Administration, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Electrical and Electronics Engineering, Engineering (General), Industrial Engineering, Mechanical Engineering, English Language and Literature (General), French Language and Literature, Spanish Language and Literature, Family Practice Nurse/Nursing, Marriage and Family Therapy/Counseling, Medical Informatics, Nursing Administration, Nursing Practice, Nursing Science, History (General), Criminal Justice/Law Enforcement Administration, Cyber/Computer Forensics and Counterterrorism, Advanced Legal Research/Studies (General), Banking/Corporate/Finance/Securities Law, Comparative Law, International Law and Legal Studies, Law, Legal Professions and Studies (Other), Tax Law/Taxation, Humanities/Humanistic Studies, Liberal Arts and Sciences/Liberal Studies, Financial Mathematics, Mathematics (General), Business Analytics, Peace Studies and Conflict Resolution, Environmental Science, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Clinical/Counseling and Applied Psychology (Other), Psychology (General), Human Services (General), Anthropology (General), Econometrics and Quantitative Economics, International Relations and Affairs, Political Science and Government (General), Sociology (General), Acting, Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
Camano Island Library Pilot Project,Island,Sno-Isle Libraries,Library,848 N. Sunrise Blvd,Camano Island,,98282-8770,US,37.721224,-122.476799, San Francisco State University,122597,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"AfricanAmerican/Black Studies, American Indian/Native American Studies, American/United States Studies/Civilization, AsianAmerican Studies, Comparative Group Studies, Ethnic/Cultural Minority/Gender/Group Studies (Other), HispanicAmerican/Puerto Rican/MexicanAmerican/Chicano Studies, Biochemistry, Biology/Biological Sciences (General), Biomedical Sciences (General), Accounting, Business Administration and Management (General), Hospitality Administration/Management (General), Labor Studies, Management Science, Journalism, Radio and Television, Speech Communication and Rhetoric, Computer Science, Community College Administration, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Educational Leadership and Administration (General), Special Education and Teaching (General), Technology Teacher Education/Industrial Arts Teacher Education, Civil Engineering (General), Computer Engineering (General), Electrical and Electronics Engineering, Engineering (General), Mechanical Engineering, Creative Writing, English Language and Literature (General), Professional/Technical/Business/Scientific Writing, Apparel and Textiles (General), Family and Consumer Sciences/Human Sciences (General), Chinese Language and Literature, Classics and Classical Languages/Literatures/Linguistics (General), Comparative Literature, French Language and Literature, German Language and Literature, Japanese Language and Literature, Spanish Language and Literature, Communication Sciences and Disorders (General), Health Services/Allied Health/Health Sciences (General), Mental Health Counseling/Counselor, Physical Therapy/Therapist, Public Health (General), Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Humanities/Humanistic Studies, Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Mathematics (General), Statistics (General), Behavioral Sciences, Gerontology, Marine Sciences, Multi/Interdisciplinary Studies (Other), Museology/Museum Studies, Nutrition Sciences, Environmental Science, Environmental Studies, Parks/Recreation/Leisure Studies, Sports/Kinesiology/Physical Education/Fitness (General), Jewish/Judaic Studies, Philosophy, Philosophy and Religious Studies (Other), Chemistry (General), Geological and Earth Sciences/Geosciences (Other), Physics (General), Psychology (General), Research and Experimental Psychology (Other), Public Administration, Social Work, Anthropology (General), Econometrics and Quantitative Economics, Economics (General), Geographic Information Science and Cartography, Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Urban Studies/Affairs, Art History/Criticism and Conservation, Art/Art Studies (General), Cinematography and Film/Video Production, Dance (General), Design and Applied Arts (Other), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Fine/Studio Arts (General), Industrial and Product Design, Interior Design, Music Performance (General), Music (General)"
Delridge Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,4501 Delridge Way SW,Seattle,,98106,US,37.776618,-122.450477, University of San Francisco,122612,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Architecture, Area Studies (Other), Asian Studies/Civilization, Latin American Studies, Biology/Biological Sciences (General), Biotechnology, Accounting, Business Administration and Management (General), Business/Managerial Economics, Entrepreneurship/Entrepreneurial Studies, Finance (General), Financial Planning and Services, Hospitality Administration/Management (General), Human Resources Development, International Business/Trade/Commerce, Management Science, Management Sciences and Quantitative Methods (Other), Marketing/Marketing Management (General), NonProfit/Public/Organizational Management, Organizational Behavior Studies, Advertising, Mass Communication/Media Studies, Speech Communication and Rhetoric, Computer Science, Data Processing and Data Processing Technology/Technician, Information Technology, Curriculum and Instruction, Education (General), Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, Higher Education/Higher Education Administration, Multicultural Education, Reading Teacher Education, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Levels and Methods (Other), Teaching English as a Second or Foreign Language/ESL Language Instructor, Energy Systems Technology/Technician, Creative Writing, English Language and Literature (General), Japanese Language and Literature, Clinical Nurse Specialist, Family Practice Nurse/Nursing, Health Services Administration, Medical Informatics, Psychiatric/Mental Health Services Technician, Public Health (General), Registered Nursing/Registered Nurse, History (General), Advanced Legal Research/Studies (General), Law, Programs for Foreign Lawyers, Tax Law/Taxation, Mathematics (General), International/Globalization Studies, Museology/Museum Studies, Environmental Science, Environmental Studies, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Philosophy, Chemistry (General), Physics (General), Clinical Psychology, Counseling Psychology, Psychology (General), Human Services (General), Public Administration, Applied Economics, Demography and Population Studies, Econometrics and Quantitative Economics, Economics (General), International Relations and Affairs, Political Science and Government (General), Sociology (General), Urban Studies/Affairs, Theology/Theological Studies, Art History/Criticism and Conservation, Design and Visual Communications (General), Fine/Studio Arts (General), Visual and Performing Arts (General)"
Bonney Lake Library,Pierce,Pierce County Library Sytem,Library,18501 90th St E,Bonney Lake,,98390-7185,US,38.819728,-121.292312, William Jessup University,122728,English,Computer,None,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Organizational Leadership, Digital Communication and Media/Multimedia, Computer Science, Educational Leadership and Administration (General), Elementary Education and Teaching, Teacher Education and Professional Development/Specific Levels and Methods (Other), English Language and Literature (General), History (General), Criminal Justice/Law Enforcement Administration, Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Counseling Psychology, Psychology (General), Political Science and Government (General), Bible/Biblical Studies, Theology/Theological Studies, Youth Ministry, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
Deer Park Library,Spokane,Spokane County Library District,Library,208 S Forest Ave,Deer Park,,99006,US,37.336569,-121.880621, San Jose State University,122755,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"City/Urban/Community/Regional Planning, AfricanAmerican/Black Studies, HispanicAmerican/Puerto Rican/MexicanAmerican/Chicano Studies, Bioinformatics, Biology/Biological Sciences (General), Ecology and Evolutionary Biology, Marine Biology and Biological Oceanography, Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Hospitality Administration/Management (General), Logistics/Materials/Supply Chain Management, Management Science, Organizational Behavior Studies, Taxation, Advertising, Journalism, Public Relations/Image Management, Radio and Television, Speech Communication and Rhetoric, Computer Science, Informatics, Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Education (General), Educational Leadership and Administration (General), Music Teacher Education, Science Teacher Education/General Science Teacher Education, Teacher Education and Professional Development/Specific Levels and Methods (Other), Teaching English as a Second or Foreign Language/ESL Language Instructor, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Bioengineering and Biomedical Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Computer Software Engineering, Electrical and Electronics Engineering, Engineering (General), Industrial Engineering, Materials Engineering, Mechanical Engineering, Engineering Technologies/Technicians (General), Engineering/Industrial Management, Industrial Technology/Technician, Packaging Science, Quality Control Technology/Technician, Creative Writing, English Language and Literature (General), Chinese Language and Literature, French Language and Literature, Japanese Language and Literature, Linguistics, Spanish Language and Literature, Athletic Training/Trainer, Communication Sciences and Disorders (General), Nursing Practice, Occupational Therapy/Therapist, Public Health (General), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Criminal Justice/Safety Studies, Forensic Science and Technology, Humanities/Humanistic Studies, Liberal Arts and Sciences/Liberal Studies, Archives/Archival Administration, Library and Information Science, Applied Mathematics (General), Mathematics (General), Statistics (General), Behavioral Sciences, Human Computer Interaction, International/Globalization Studies, Marine Sciences, Multi/Interdisciplinary Studies (Other), Nutrition Sciences, Environmental Science, Parks/Recreation/Leisure Studies, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy, Atmospheric Sciences and Meteorology (General), Chemistry (General), Geological and Earth Sciences/Geosciences (Other), Geology/Earth Science (General), Physics (General), Clinical Psychology, Psychology (General), Public Administration, Social Work, Anthropology (General), Criminology, Econometrics and Quantitative Economics, Economics (General), Geography, Political Science and Government (General), Social Sciences (General), Sociology (General), Aeronautics/Aviation/Aerospace Science and Technology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Dance (General), Design and Applied Arts (Other), Digital Arts, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Graphic Design, Industrial and Product Design, Interior Design, Music Performance (General), Music (General), Visual and Performing Arts (General)"
Denny Terrace,King,Full Life Care,Housing,100 Melrose Ave E,Seattle,,98102,US,37.348362,-121.93784, Santa Clara University,122931,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Ethnic Studies, Women's Studies, Biochemistry, Biology/Biological Sciences (General), Neuroscience, Accounting, Accounting and Business/Management, Business Administration and Management (General), Business/Managerial Economics, Finance (General), Management Information Systems (General), Management Science, Marketing/Marketing Management (General), Organizational Behavior Studies, Speech Communication and Rhetoric, Information Technology, Web Page/Digital/Multimedia and Information Resources Design, Educational Leadership and Administration (General), Elementary Education and Teaching, Secondary Education and Teaching, Bioengineering and Biomedical Engineering, Civil Engineering (General), Computer Engineering (General), Computer Hardware Engineering, Electrical and Electronics Engineering, Engineering Physics/Applied Physics, Engineering (General), Mechanical Engineering, Mechatronics/Robotics/Automation Engineering, Energy Systems Technology/Technician, Engineering/Industrial Management, English Language and Literature (General), Child Development, Classics and Classical Languages/Literatures/Linguistics (General), Spanish Language and Literature, Public Health (General), History (General), Advanced Legal Research/Studies (General), Law, Legal Research and Advanced Professional Studies (Other), Programs for Foreign Lawyers, Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Mathematics (General), Mathematics and Computer Science, Environmental Science, Environmental Studies, Christian Studies, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Applied Psychology, Counseling Psychology, Psychology (General), Anthropology (General), Economics (General), Political Science and Government (General), Sociology (General), Divinity/Ministry, Theology/Theological Studies, Art History/Criticism and Conservation, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music (General)"
Chelan Community Library,Chelan,North Central Regional Library,Library,417 S Bradley,Chelan,,98816,US,34.153103,-118.152155, Saybrook University,123095,English,"Computer, Wi-Fi",Wheelchair accessible,On-site Residents,Limited Users,"Business Administration and Management (General), Organizational Behavior Studies, Multi/Interdisciplinary Studies (Other), Clinical Psychology, Counseling Psychology, Psychology (General)"
Helping Link,King,Helping Link,Human Services/Non-profit (non-residential),1032 S Jackson StSte C,Seattle,,98104,US,34.104147,-117.711294, Scripps College,123165,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"AfricanAmerican/Black Studies, American/United States Studies/Civilization, French Studies, Latin American Studies, Women's Studies, Biochemistry, Biological and Biomedical Sciences (Other), Biology/Biological Sciences (General), Molecular Biology, Neuroscience, Accounting, Organizational Behavior Studies, Mass Communication/Media Studies, Computer Science, English Language and Literature (General), Rhetoric and Composition, Classics and Classical Languages/Literatures/Linguistics (General), Foreign Languages and Literatures (General), Linguistics, Spanish Language and Literature, History (General), Legal Studies, Humanities/Humanistic Studies, Mathematics (General), Cognitive Science (General), Human Biology, Mathematics and Computer Science, Multi/Interdisciplinary Studies (Other), Science/Technology and Society, Systems Science and Theory, Environmental Science, Environmental Studies, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Research and Experimental Psychology (Other), Public Policy Analysis (General), Anthropology (General), Econometrics and Quantitative Economics, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General)"
Winlock Timberland Library,Lewis,Timberland Regional Library,Library,322 NE First Street,Winlock,,98596-0248,US,40.61334,-122.332981, Simpson University,123457,"English, Vietnamese","Computer, Wi-Fi",None,"Adults, Immigrants/Refugees, Low Income, Seniors, Youth: Teen",Limited Users,"Biology/Biological Sciences (General), Business Administration and Management (General), Organizational Behavior Studies, Speech Communication and Rhetoric, Education (General), Social Science Teacher Education, Registered Nursing/Registered Nurse, History (General), Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Exercise Science and Kinesiology, Parks/Recreation/Leisure Studies, Christian Studies, Counseling Psychology, Psychology (General), Political Science and Government (General), Social Sciences (General), Divinity/Ministry, Missions/Missionary Studies, Theology and Religious Vocations (Other), Youth Ministry, Music (General)"
Kelso Public Library,Cowlitz,Kelso Public Library,Library,351 Three Rivers Dr,Kelso,,98626,US,37.840731,-122.109031, Saint Mary's College of California,123554,English,Adaptive Laptops,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Asian Studies/Civilization, Ethnic Studies, European Studies/Civilization, Biochemistry, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Business/Commerce (General), Finance and Financial Management Services (Other), Speech Communication and Rhetoric, Counselor Education/School Counseling and Guidance Services, Education (General), Educational Leadership and Administration (General), Elementary Education and Teaching, Special Education and Teaching (General), Engineering (General), Creative Writing, English Language and Literature (General), French Language and Literature, Health Professions and Related Clinical Sciences (Other), History (General), Liberal Arts and Sciences (General) Studies and Humanities (Other), Liberal Arts and Sciences/Liberal Studies, Computational and Applied Mathematics, Mathematics and Statistics (Other), Mathematics (General), Environmental Science, Environmental Studies, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Sports/Kinesiology/Physical Education/Fitness (Other), Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Clinical/Counseling and Applied Psychology (Other), Counseling Psychology, Developmental and Child Psychology, Psychology (General), Psychology (Other), Anthropology (General), Archeology, Economics (General), Political Science and Government (General), Sociology (General), Art/Art Studies (General), Dance (General), Drama and Dramatics/Theatre Arts (General)"
Summit Library,Pierce,Pierce County Library Sytem,Library,5107 112th St E,Tacoma,,98390-1512,US,38.340274,-122.677066, Sonoma State University,123572,English,Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Agricultural Business and Management (Other), Ethnic/Cultural Minority/Gender/Group Studies (Other), HispanicAmerican/Puerto Rican/MexicanAmerican/Chicano Studies, Women's Studies, Biochemistry, Biology/Biological Sciences (General), Business Administration and Management (General), Speech Communication and Rhetoric, Computer Science, Counselor Education/School Counseling and Guidance Services, Education (General), Education (Other), Educational Leadership and Administration (General), Computer Engineering (General), Electrical and Electronics Engineering, Engineering Science, English Language and Literature (General), Human Development and Family Studies (General), French Language and Literature, Spanish Language and Literature, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Statistics (General), Statistics (Other), Cultural Resource Management and Policy Analysis, International/Globalization Studies, Multi/Interdisciplinary Studies (Other), Environmental Science, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy, Chemistry (General), Geological and Earth Sciences/Geosciences (Other), Geology/Earth Science (General), Physics (General), Psychology (General), Public Administration, Anthropology (General), Economics (General), Geography, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music (General)"
Des Moines Library,King,King County Library System,Library,21620 11th Ave S,Des Moines,,98198-6317,US,33.662686,-117.900911, Vanguard University of Southern California,123651,"English, Spanish",Adaptive Laptops,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Biochemistry, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Marketing/Marketing Management (General), Organizational Leadership, Communication and Media Studies (Other), Communication (General), Speech Communication and Rhetoric, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Music Teacher Education, English Language and Literature (General), Nursing Administration, Registered Nursing/Registered Nurse, History (General), Mathematics (General), Exercise Science and Kinesiology, Religion/Religious Studies, Environmental Chemistry, Physical Sciences (General), Clinical Psychology, Industrial and Organizational Psychology, Psychology (General), Cultural Anthropology, Sociology (General), Bible/Biblical Studies, Pastoral Studies/Counseling, Religious/Sacred Music, Theology/Theological Studies, Directing and Theatrical Production, Drama and Dramatics/Theatre Arts (General), Music (General), Musical Theatre, Technical Theatre/Theatre Design and Technology"
Lake Hills Library,King,King County Library System,Library,15590 Lake Hills Blvd,Bellevue,,98007-5997,US,34.021281,-118.284169, University of Southern California,123961,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Architectural and Building Sciences/Technology, Architecture, Architecture and Related Services (Other), City/Urban/Community/Regional Planning, Real Estate Development, AfricanAmerican/Black Studies, American/United States Studies/Civilization, Area Studies (Other), AsianAmerican Studies, East Asian Studies, Ethnic/Cultural Minority/Gender/Group Studies (Other), Near and Middle Eastern Studies, Russian/Central European/East European and Eurasian Studies, Biochemistry, Biochemistry and Molecular Biology, Biochemistry/Biophysics and Molecular Biology (Other), Bioinformatics, Biological and Biomedical Sciences (Other), Biology/Biological Sciences (General), Biomathematics/Bioinformatics/Computational Biology (Other), Biomedical Sciences (General), Biophysics, Biostatistics, Biotechnology, Cell/Cellular and Molecular Biology, Cell/Cellular Biology and Anatomical Sciences (Other), Computational Biology, Epidemiology, Marine Biology and Biological Oceanography, Microbiology and Immunology, Molecular Biology, Molecular Medicine, Molecular Pharmacology, Neurobiology and Neurosciences (Other), Neuroscience, Oncology and Cancer Biology, Pathology/Experimental Pathology, Pharmacology and Toxicology (Other), Physiology/Pathology/Related Sciences (Other), Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Business Statistics, Business/Management/Marketing/Related Support Services (Other), Construction Management (General), Entrepreneurial and Small Business Operations (Other), Hospitality Administration/Management (General), Human Resources Management/Personnel Administration (General), International Business/Trade/Commerce, Management Science, Management Sciences and Quantitative Methods (Other), Marketing/Marketing Management (General), NonProfit/Public/Organizational Management, Project Management, Real Estate, Restaurant/Food Services Management, Taxation, Communication and Media Studies (Other), Digital Communication and Media/Multimedia, International and Intercultural Communication, Journalism, Public Relations/Advertising/Applied Communication, Public Relations/Image Management, Speech Communication and Rhetoric, Artificial Intelligence, Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Computer Systems Networking and Telecommunications, Data Modeling/Warehousing and Database Administration, Informatics, Modeling/Virtual Environments and Simulation, College Student Counseling and Personnel Services, Counselor Education/School Counseling and Guidance Services, Education (Other), Educational Leadership and Administration (General), Higher Education/Higher Education Administration, Learning Sciences, Teacher Education and Professional Development/Specific Subject Areas (Other), Teaching English as a Second or Foreign Language/ESL Language Instructor, Urban Education and Leadership, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Bioengineering and Biomedical Engineering, Chemical Engineering, Civil Engineering (General), Civil Engineering (Other), Computer Engineering (General), Electrical and Computer Engineering, Electrical and Electronics Engineering, Electrical/Electronics/Communications Engineering (Other), Engineering (Other), Environmental/Environmental Health Engineering, Industrial Engineering, Materials Engineering, Mechanical Engineering, Operations Research, Petroleum Engineering, Structural Engineering, Systems Engineering, Transportation and Highway Engineering, Biomedical Technology/Technician, Civil Engineering Technologies/Technicians, EngineeringRelated Fields (Other), Creative Writing, English Language and Literature (General), Rhetoric and Composition/Writing Studies (Other), Classics and Classical Languages/Literatures/Linguistics (General), Comparative Literature, East Asian Languages/Literatures/Linguistics (General), French Language and Literature, Italian Language and Literature, Linguistic/Comparative/Related Language Studies and Services (Other), Linguistics, Slavic Languages/Literatures/Linguistics (General), Spanish Language and Literature, Advanced/Graduate Dentistry and Oral Sciences (Other), Behavioral Aspects of Health, Clinical and Industrial Drug Development, Dental Hygiene/Hygienist, Dental Public Health and Education, Dentistry, Family Practice Nurse/Nursing, Health Professions and Related Clinical Sciences (Other), Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, International Public Health/International Health, Long Term Care Administration/Management, Marriage and Family Therapy/Counseling, Medical Science/Scientist, Medical/Health Humanities, Medicine, Occupational Therapy/Therapist, Oral Biology and Oral and Maxillofacial Pathology, Pharmaceutical Marketing and Management, Pharmaceutical Sciences, Pharmacoeconomics/Pharmaceutical Economics, Pharmacy, Pharmacy Administration and Pharmacy Policy and Regulatory Affairs, Physical Therapy/Therapist, Physician Assistant, Public Health (General), Public Health (Other), History (General), History (Other), Criminal Justice/Safety Studies, Advanced Legal Research/Studies (General), International Business/Trade/Tax Law, Law, Legal Research and Advanced Professional Studies (Other), Programs for Foreign Lawyers, Library and Information Science, Applied Mathematics (General), Computational and Applied Mathematics, Financial Mathematics, Mathematics (General), Statistics (General), Cognitive Science (General), Dispute Resolution, Gerontology, Historic Preservation and Conservation (General), Human Biology, International/Globalization Studies, Marine Sciences, Mathematics and Computer Science, Multi/Interdisciplinary Studies (General), Multi/Interdisciplinary Studies (Other), Science/Technology and Society, Environmental Science, Environmental Studies, Exercise Science and Kinesiology, Jewish/Judaic Studies, Philosophy, Philosophy (Other), Religion/Religious Studies, Astronomy, Chemistry (General), Geology/Earth Science (General), Materials Science, Physics (General), Applied Behavior Analysis, Applied Psychology, Psychology (General), Research and Experimental Psychology (Other), Public Administration, Public Administration and Social Service Professions (Other), Public Policy Analysis (General), Public Policy Analysis (Other), Social Work, Anthropology (General), Archeology, Econometrics and Quantitative Economics, Economics (General), Geographic Information Science and Cartography, International Relations and Affairs, Political Economy, Political Science and Government (General), Social Sciences (General), Sociology (General), Urban Studies/Affairs, Religious/Sacred Music, Acting, Art History/Criticism and Conservation, Art/Art Studies (General), Arts/Entertainment/Media Management (General), Brass Instruments, Cinematography and Film/Video Production, Dance (General), Design and Visual Communications (General), Digital Arts, Drama and Dramatics/Theatre Arts (General), Dramatic/Theatre Arts and Stagecraft (Other), Film/Cinema/Media Studies, Fine Arts and Art Studies (Other), Fine/Studio Arts (General), Game and Interactive Media Design, Jazz/Jazz Studies, Keyboard Instruments, Music Management, Music Performance (General), Music Theory and Composition, Music (General), Music (Other), Percussion Instruments, Playwriting and Screenwriting, Stringed Instruments, Technical Theatre/Theatre Design and Technology, Visual and Performing Arts (General), Voice and Opera, Woodwind Instruments"
University Branch,King,Seattle Public Library,Library,5009 Roosevelt Way N.E.,Seattle,,98105,US,34.429009,-119.087141, Thomas Aquinas College,124292,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Liberal Arts and Sciences/Liberal Studies, Liberal Arts and Sciences/Liberal Studies"
Renton Highlands Library,King,King County Library System,Library,2902 NE 12 St,Renton,,98056-3126,US,34.450151,-119.662517, Westmont College,125727,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Biology/Biological Sciences (General), Business/Managerial Economics, Speech Communication and Rhetoric, Computer and Information Sciences (General), Engineering Physics/Applied Physics, English Language and Literature (General), Spanish Language and Literature, History (General), Liberal Arts and Sciences/Liberal Studies, Exercise Science and Kinesiology, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Anthropology (General), Political Science and Government (General), Social Sciences (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Music (General)"
Lopez Island Library District,San Juan,Lopez Island Library District,Library,2225 Fisherman Bay Rd,Lopez Island,,98261,US,33.978773,-118.032299, Whittier College,125763,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Biochemistry, Biology/Biological Sciences (General), Business Administration and Management (General), Education (General), Engineering Physics/Applied Physics, English Language and Literature (General), Child Development, French Language and Literature, Spanish Language and Literature, History (General), Mathematics (General), International/Globalization Studies, Environmental Science, Exercise Science and Kinesiology, Philosophy, Chemistry (General), Physics (General), Psychology (General), Social Work, Anthropology (General), Economics (General), Economics (Other), Political Science and Government (General), Social Sciences (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
Queen Anne Branch,King,Seattle Public Library,Library,400 W. Garfield St.,Seattle,,98119,US,34.208011,-118.341147, Woodbury University,125897,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public,"Architectural and Building Sciences/Technology, Architecture, Interior Architecture, Accounting, Apparel and Accessories Marketing Operations, Business Administration and Management (General), Marketing/Marketing Management (General), Organizational Leadership, Communication (General), Drafting and Design Technology/Technician (General), Professional/Technical/Business/Scientific Writing, Criminal Justice/Safety Studies, Human Computer Interaction, Multi/Interdisciplinary Studies (Other), Psychology (General), Political Science and Government (General), Cinematography and Film/Video Production, Commercial and Advertising Art, Fashion/Apparel Design, Film/Video and Photographic Arts (Other), Game and Interactive Media Design"
