Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,School,Longitude,Latitude,Programslist
Ballard Library,King,Seattle Public Library,Library,5614 22nd Ave. N.W.,Seattle,Washington,98107,US,[+1] 206-684-4089,http://www.spl.org/locations/ballard-branch/bal-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi","None, Wheelchair accessible","Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Alaska Southeast,-134.638255,58.384846,"American Indian/Native American Studies, Biology/Biological Sciences (General), Marine Biology and Biological Oceanography, Business Administration and Management (General), Elementary Education and Teaching, Reading Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), English Language and Literature (General), Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Environmental Studies, Natural Resources/Conservation (General), Wildlife/Fish and Wildlands Science and Management, Public Administration, Social Sciences (General)"
Mill Creek Library,Snohomish,Sno-Isle Libraries,Library,15429 Bothell Everett Hwy,Mill Creek,Washington,98012-1212,US,[+1] 425-337-4822,http://www.sno-isle.org,"English, Russian, Spanish, French, Ukranian, Hindi, Oriya, Punjabi","Computer, Wi-Fi, Adaptive Laptops","Deaf, Wheelchair accessible","Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Alaska Pacific University,-149.804168,61.190968,"American Indian/Native American Studies, Accounting and Finance, Business Administration and Management (General), Management Information Systems (General), Organizational Leadership, Creative Writing, Health Professions and Related Clinical Sciences (Other), Registered Nursing/Registered Nurse, Liberal Arts and Sciences/Liberal Studies, Biological and Physical Sciences, Sustainability Studies, Environmental Science, Outdoor Education, Parks/Recreation/Leisure Studies, Counseling Psychology"
Delridge Branch,King,Seattle Public Library,Library,5423 Delridge Way S.W.,Seattle,Washington,98106,US,[+1] 206-733-9125,http://www.spl.org/locations/delridge-branch/dlr-computers-and-equipment,"English, Vietnamese, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Arizona State University Campus Immersion,-111.934383,33.417721,"Architectural and Building Sciences/Technology, Architecture, City/Urban/Community/Regional Planning, Environmental Design/Architecture, Interior Architecture, Landscape Architecture, Real Estate Development, AfricanAmerican/Black Studies, American Indian/Native American Studies, American/United States Studies/Civilization, Asian Studies/Civilization, AsianAmerican Studies, Ethnic/Cultural Minority/Gender/Group Studies (Other), HispanicAmerican/Puerto Rican/MexicanAmerican/Chicano Studies, Latin American Studies, Women's Studies, Animal Behavior and Ethology, Biochemistry, Bioinformatics, Biology/Biological Sciences (General), Biometry/Biometrics, Biophysics, Biotechnology, Botany/Plant Biology, Cell/Cellular and Molecular Biology, Environmental Biology, Evolutionary Biology, Microbiology (General), Molecular Biology, Neuroscience, Pharmacology and Toxicology, Accounting, Actuarial Science, Business Administration and Management (General), Business/Management/Marketing/Related Support Services (Other), Business/Commerce (General), Construction Management (General), Entrepreneurship/Entrepreneurial Studies, Finance (General), International Business/Trade/Commerce, Management Science, Management Sciences and Quantitative Methods (Other), Marketing/Marketing Management (General), NonProfit/Public/Organizational Management, Organizational Leadership, Purchasing/Procurement/Acquisitions and Contracts Management, Science/Technology Management, Taxation, Tourism and Travel Services Management, Digital Communication and Media/Multimedia, Journalism (Other), Mass Communication/Media Studies, Speech Communication and Rhetoric, Sports Communication, Animation/Interactive Technology/Video Graphics/Special Effects, Computer and Information Sciences and Support Services (Other), Computer and Information Sciences (General), Computer Science, Informatics, Information Technology Project Management, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Education (Other), Educational Leadership and Administration (General), Elementary Education and Teaching, English/Language Arts Teacher Education, Higher Education/Higher Education Administration, Music Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, Social and Philosophical Foundations of Education, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Bioengineering and Biomedical Engineering, Biological/Biosystems Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Computer Software Engineering, Construction Engineering, Electrical and Electronics Engineering, Energy Systems Engineering (General), Engineering Physics/Applied Physics, Engineering (General), Engineering (Other), Environmental/Environmental Health Engineering, Industrial Engineering, Manufacturing Engineering, Materials Engineering, Mechanical Engineering, Mechatronics/Robotics/Automation Engineering, Systems Engineering, Construction Engineering Technology/Technician, Engineering Design, Engineering/EngineeringRelated Technologies/Technicians (Other), Engineering/Industrial Management, Solar Energy Technology/Technician, Creative Writing, English Language and Literature (General), Professional/Technical/Business/Scientific Writing, Family and Community Services, Family Resource Management Studies (General), Foods/Nutrition/Related Services (Other), Foods/Nutrition/Wellness Studies (General), East Asian Languages/Literatures/Linguistics (General), Foreign Languages/Literatures/Linguistics (Other), French Language and Literature, German Language and Literature, Italian Language and Literature, Linguistics, Russian Language and Literature, Spanish Language and Literature, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Communication Disorders Sciences and Services (Other), Communication Sciences and Disorders (General), Health and Wellness (General), Health Services Administration, Health/Health Care Administration/Management, Health/Medical Preparatory Programs (Other), Healthcare Innovation, Kinesiotherapy/Kinesiotherapist, Marriage and Family Therapy/Counseling, Music Therapy/Therapist, Nursing Practice, Nursing Science, PreMedicine/PreMedical Studies, Public Health Education and Promotion, Public Health (General), Registered Nursing/Registered Nurse, Regulatory Science/Affairs, Therapeutic Recreation/Recreational Therapy, History (General), Criminal Justice/Law Enforcement Administration, Advanced Legal Research/Studies (General), Law, Legal Professions and Studies (Other), Legal Studies, Tribal/Indigenous Law, Liberal Arts and Sciences (General) Studies and Humanities (Other), Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Applied Mathematics (Other), Computational and Applied Mathematics, Computational Mathematics, Financial Mathematics, Mathematics (General), Mathematics (Other), Statistics (General), Cultural Studies/Critical Theory and Analysis, Data Science (General), Earth Systems Science, Human Computer Interaction, International/Globalization Studies, Multi/Interdisciplinary Studies (General), Multi/Interdisciplinary Studies (Other), Natural Sciences, Nutrition Sciences, Science/Technology and Society, Sustainability Studies, Systems Science and Theory, Environmental Science, Environmental Studies, Exercise Science and Kinesiology, Parks/Recreation/Leisure Studies, Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (Other), Philosophy, Philosophy and Religious Studies (General), Religion/Religious Studies, Astrophysics, Chemistry (General), Forensic Chemistry, Geology/Earth Science (General), Physical Sciences (General), Physics (General), Applied Behavior Analysis, Applied Psychology, Educational Psychology, Psychology (General), Research and Experimental Psychology (Other), Community Organization and Advocacy, Education Policy Analysis, Public Administration, Public Policy Analysis (General), Social Work, Science Technologies/Technicians (General), Science Technologies/Technicians (Other), Anthropology (General), Criminology, Economics (General), Geographic Information Science and Cartography, Geography, International Relations and Affairs, Political Economy, Political Science and Government (General), Political Science and Government (Other), Social Sciences (General), Sociology (General), Urban Studies/Affairs, Aeronautics/Aviation/Aerospace Science and Technology (General), Art/Art Studies (General), Arts/Entertainment/Media Management (General), Dance (General), Design and Applied Arts (Other), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Fashion/Apparel Design, Film/Video and Photographic Arts (Other), Graphic Design, Industrial and Product Design, Interior Design, Music Performance (General), Music Theory and Composition, Music (General), Visual and Performing Arts (General)"
Brewster Community Library,Okanogan,North Central Regional Library,Library,108 S Third,Brewster,Washington,98812-0280,US,[+1] 509-689-4046,http://www.ncrl.org/brewster.htm,"English, Russian, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Arizona,-110.950815,32.232672,"Agricultural and Extension Education Services, Agricultural Business and Management (General), Agricultural Production Operations (General), Agricultural/Animal/Plant/Veterinary Science and Related Fields (Other), Animal Sciences (General), Plant Sciences (General), PreVeterinary Studies, Architectural and Building Sciences/Technology, Architecture and Related Services (Other), City/Urban/Community/Regional Planning, Real Estate Development, AfricanAmerican/Black Studies, American Indian/Native American Studies, East Asian Studies, German Studies, HispanicAmerican/Puerto Rican/MexicanAmerican/Chicano Studies, Latin American Studies, Near and Middle Eastern Studies, Women's Studies, Biochemistry, Bioinformatics, Biology/Biological Sciences (General), Biostatistics, Biotechnology, Cell/Cellular and Molecular Biology, Cell/Cellular Biology and Histology, Ecology and Evolutionary Biology, Entomology, Epidemiology, Genetics (General), Microbiology (General), Molecular Medicine, Neuroscience, Oncology and Cancer Biology, Pharmacology, Pharmacology and Toxicology, Physiology (General), Plant Pathology/Phytopathology, Accounting, Business Administration and Management (General), Business/Managerial Economics, Entrepreneurship/Entrepreneurial Studies, Finance (General), Financial Planning and Services, Human Resources Management/Personnel Administration (General), Management Information Systems (General), Management Sciences and Quantitative Methods (Other), Marketing/Marketing Management (General), Operations Management and Supervision, Organizational Leadership, Retail Management, Journalism, Mass Communication/Media Studies, Speech Communication and Rhetoric, Artificial Intelligence, Computer and Information Sciences (General), Computer Science, Informatics, Information Science/Studies, Information Technology, Web Page/Digital/Multimedia and Information Resources Design, Agricultural Teacher Education, Art Teacher Education, Education (General), Education (Other), Educational Leadership and Administration (General), Elementary Education and Teaching, Higher Education/Higher Education Administration, Kindergarten/Preschool Education and Teaching, Learning Sciences, Music Teacher Education, Reading Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Architectural Engineering, Bioengineering and Biomedical Engineering, Biological/Biosystems Engineering, Chemical Engineering, Civil Engineering (General), Civil Engineering (Other), Electrical/Electronics/Communications Engineering (Other), Engineering Physics/Applied Physics, Engineering (General), Environmental/Environmental Health Engineering, Industrial Engineering, Mechanical Engineering, Mining and Mineral Engineering, Systems Engineering, Engineering/Industrial Management, EngineeringRelated Technologies/Technicians (Other), Creative Writing, English Language and Literature (General), Rhetoric and Composition, Family Resource Management Studies (General), Foods/Nutrition/Related Services (Other), Human Development and Family Studies (General), Human Nutrition, Applied Linguistics, Arabic Language and Literature, Classics and Classical Languages/Literatures/Linguistics (General), Comparative Literature, French Language and Literature, German Language and Literature, Iranian Languages/Literatures/Linguistics, Italian Language and Literature, Linguistics, Russian Language and Literature, Spanish Language and Literature, Audiology/Audiologist, Behavioral Aspects of Health, Communication Sciences and Disorders (General), Community Health Services/Liaison/Counseling, Emergency Medical Technology/Technician (EMT Paramedic), Environmental Health, Genetic Counseling/Counselor, Health/Health Care Administration/Management, Medical Science/Scientist, Medicine, Mental and Social Health Services and Allied Professions (Other), Mental Health Counseling/Counselor, Nursing Practice, Pharmaceutical Sciences, Pharmacy, Public Health (General), Registered Nursing/Registered Nurse, Vocational Rehabilitation Counseling/Counselor, History (General), Criminal Justice and Corrections (General), Cyber/Computer Forensics and Counterterrorism, Advanced Legal Research/Studies (General), Law, Legal Professions and Studies (Other), Legal Research and Advanced Professional Studies (Other), Legal Studies, Tribal/Indigenous Law, Humanities/Humanistic Studies, Library and Information Science, Applied Mathematics (General), Financial Mathematics, Mathematics and Statistics, Mathematics (General), Statistics (General), Cyber/Electronic Operations and Warfare, Intelligence/Command Control and Information Operations (Other), International/Globalization Studies, Multi/Interdisciplinary Studies (General), Natural Sciences, Nutrition Sciences, Philosophy/Politics/Economics, Sustainability Studies, Environmental Science, Environmental Studies, Natural Resources/Conservation (General), Jewish/Judaic Studies, Philosophy, Religion/Religious Studies, Astronomy, Atmospheric Sciences and Meteorology (General), Chemistry (General), Geological and Earth Sciences/Geosciences (Other), Geology/Earth Science (General), Hydrology and Water Resources Science, Materials Science, Optics/Optical Sciences, Physics (General), Planetary Astronomy and Science, Educational Psychology, Experimental Psychology, Psychology (General), Research and Experimental Psychology (Other), School Psychology, Education Policy Analysis, Human Services (General), Public Administration, Public Policy Analysis (General), Science Technologies/Technicians (Other), Anthropology (General), Applied Economics, Development Economics and International Development, Econometrics and Quantitative Economics, Economics (General), Geographic Information Science and Cartography, Geography, International Relations and National Security Studies (Other), Political Science and Government (General), Political Science and Government (Other), Sociology (General), Art History/Criticism and Conservation, Dance (General), Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Fine/Studio Arts (General), Game and Interactive Media Design, Music Performance (General), Music (General), Musical Theatre, Technical Theatre/Theatre Design and Technology"
Skyway Library,King,King County Library System,Library,7614 South 126 St,Seattle,Washington,98178,US,[+1] 206-772-5541,http://www.kcls.org/skyway/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Embry-Riddle Aeronautical University-Prescott,-112.449741,34.616766,"Biology/Biological Sciences (General), Business Administration/Management and Operations (Other), International Business/Trade/Commerce, Aerospace/Aeronautical/Astronautical/Space Engineering (General), Computer Engineering (General), Computer Software Engineering, Electrical and Electronics Engineering, Mechanical Engineering, Cyber/Computer Forensics and Counterterrorism, Financial Forensics and Fraud Investigation, Forensic Science and Technology, Astronomy, Atmospheric Sciences and Meteorology (General), Physics (Other), Forensic Psychology, Industrial and Organizational Psychology, International Relations and Affairs, Aeronautics/Aviation/Aerospace Science and Technology (General), Air Traffic Controller, Aviation/Airway Management and Operations, Remote Aircraft Pilot, Game and Interactive Media Design"
Ocean Park Timberland Library,Pacific,Timberland Regional Library,Library,1308 256th Place,Ocean Park,Washington,98640-0310,US,[+1] 360-665-4184,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Northern Arizona University,-111.653724,35.188449,"American Indian/Native American Studies, Women's Studies, Biology/Biological Sciences (General), Biomedical Sciences (General), Ecology and Evolutionary Biology, Microbiology (General), Accounting, Business Administration and Management (General), Business/Managerial Economics, Construction Management (General), Finance (General), Hospitality Administration/Management (General), International Business/Trade/Commerce, Logistics/Materials/Supply Chain Management, Management Information Systems (General), Marketing/Marketing Management (General), NonProfit/Public/Organizational Management, Organizational Leadership, Small Business Administration/Management, Advertising, Communication Management and Strategic Communications, Communication/Journalism/Related Programs (Other), Journalism, Public Relations/Image Management, Radio and Television, Speech Communication and Rhetoric, Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Informatics, Information Technology, Art Teacher Education, Bilingual and Multilingual Education, Biology Teacher Education, Chemistry Teacher Education, College Student Counseling and Personnel Services, Community College Administration, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Earth Science Teacher Education, Education/Teaching of Individuals in Early Childhood Special Education Programs, Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, International School Administration/Leadership, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, Physics Teacher Education, Science Teacher Education/General Science Teacher Education, Science/Technology/Engineering/Mathematics (STEM) Educational Methods, Secondary Education and Teaching, Social and Philosophical Foundations of Education, Spanish Language Teacher Education, Special Education and Teaching (General), Superintendency and Educational System Administration, Teacher Education and Professional Development/Specific Subject Areas (Other), Teaching English as a Second or Foreign Language/ESL Language Instructor, Technical Teacher Education, Biological/Biosystems Engineering, Civil Engineering (General), Computer Engineering (General), Electrical and Computer Engineering, Electrical and Electronics Engineering, Engineering Physics/Applied Physics, Engineering (General), Environmental/Environmental Health Engineering, Mechanical Engineering, Creative Writing, English Language and Literature (General), General Literature, Professional/Technical/Business/Scientific Writing, Rhetoric and Composition, Foreign Languages and Literatures (General), Linguistics, Spanish Language and Literature, Athletic Training/Trainer, Behavioral Aspects of Health, Communication Sciences and Disorders (General), Dental Hygiene/Hygienist, Dietetics/Dietitian, Family Practice Nurse/Nursing, Health Services/Allied Health/Health Sciences (General), Mental Health Counseling/Counselor, Nursing Practice, Occupational Therapy/Therapist, Physical Therapy/Therapist, Physician Assistant, Public Health (General), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Criminal Justice/Law Enforcement Administration, Criminal Justice/Safety Studies, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Statistics (General), Climate Science, Cultural Studies/Critical Theory and Analysis, Data Science (General), Multi/Interdisciplinary Studies (General), Philosophy/Politics/Economics, Sustainability Studies, Environmental Science, Environmental Studies, Forest Sciences and Biology, Forestry (General), Exercise Science and Kinesiology, Parks/Recreation/Leisure Studies, Physical Fitness Technician, Philosophy, Astronomy, Chemistry (General), Geology/Earth Science (General), Materials Science, Physics and Astronomy, Physics (General), Planetary Astronomy and Science, Educational Psychology, Psychology (General), School Psychology, Public Administration, Social Work, Science Technologies/Technicians (Other), Anthropology (General), Applied/Public Sociology, Criminology, Geographic Information Science and Cartography, Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Interior Design, Music Performance (General), Music (General), Photography"
Yakama Nation Library,Yakima,Yakama Nation,Library,Spiel-yi LoopP.O. Box 151,Toppenish,Washington,98948,US,[+1] 509-865-2800,http://www.yakamamuseum.com/ynlibrary.php,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Ottawa University-Phoenix,-112.113001,33.572173,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Finance (General), Human Resources Management/Personnel Administration (General), Management Information Systems (General), Organizational Leadership, Speech Communication and Rhetoric, Computer/Information Technology Services Administration and Management (Other), Information Science/Studies, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Education (Other), Education/Teaching of Individuals in Early Childhood Special Education Programs, Educational Leadership and Administration (General), Elementary Education and Teaching, History Teacher Education, Music Teacher Education, Teacher Education and Professional Development/Specific Levels and Methods (Other), English Language and Literature (General), Art Therapy/Therapist, Health/Health Care Administration/Management, Nursing Administration, Nursing Science, Substance Abuse/Addiction Counseling, History (General), Criminal Justice/Law Enforcement Administration, Mathematics (General), Counseling Psychology, Geropsychology, Psychology (General), School Psychology, Human Services (General), Music (General)"
Yelm Timberland Library,Thurston,Timberland Regional Library,Library,210 Prarie Park St SE,Yelm,Washington,98597-7699,US,[+1] 360-458-3374,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Prescott College,-112.477185,34.5452,"Agroecology and Sustainable Agriculture, Business Administration and Management (General), Business Administration/Management and Operations (Other), Counselor Education/School Counseling and Guidance Services, Early Childhood Education and Teaching, Education (General), Education (Other), Education/Teaching of Individuals in Early Childhood Special Education Programs, Educational Leadership and Administration (General), Elementary Education and Teaching, Secondary Education and Teaching, Special Education and Teaching (General), Mental Health Counseling/Counselor, Humanities/Humanistic Studies, Multi/Interdisciplinary Studies (Other), Sustainability Studies, Environmental Studies, Outdoor Education, Community Psychology, Psychology (General), Community Organization and Advocacy, Social Sciences (Other), Visual and Performing Arts (General), Visual and Performing Arts (Other)"
Garfield Computer Lab,King,Associated Recreation Council - RecTech,Government/Public Community Center,2323 East Cherry St,Seattle,Washington,98122,US,[+1] 206-684-4788,http://www.seattle.gov/parks/rectech/labs/garfield/,English,Wi-Fi,None,"Adults, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Arizona Christian University,-112.181776,33.622952,"Biology/Biological Sciences (General), Business Administration and Management (General), Entrepreneurship/Entrepreneurial Studies, Communication (General), Early Childhood Education and Teaching, Elementary Education and Teaching, Secondary Education and Teaching, Multi/Interdisciplinary Studies (General), Counseling Psychology, Family Psychology, Psychology (General), American Government and Politics (United States), Bible/Biblical Studies, Lay Ministry, Music (General)"
Leavenworth Community Library,Chelan,North Central Regional Library,Library,700 Hwy 2,Leavenworth,Washington,98826,US,[+1] 509-548-7923,http://www.ncrl.org/leavenworth.htm,"English, Russian, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Arkansas at Little Rock,-92.339778,34.723254,"Bioinformatics, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Business/Managerial Economics, ECommerce/Electronic Commerce, Finance (General), International Business/Trade/Commerce, Management Science, Marketing/Marketing Management (General), Communication/Journalism/Related Programs (Other), Journalism, Speech Communication and Rhetoric, Computer and Information Sciences/ Other, Computer and Information Sciences (General), Information Science/Studies, Web Page/Digital/Multimedia and Information Resources Design, Adult and Continuing Education and Teaching, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Education/Teaching of the Gifted and Talented, Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, Higher Education/Higher Education Administration, Junior High/Intermediate/Middle School Education and Teaching, Physical Education Teaching and Coaching, Reading Teacher Education, Special Education and Teaching (General), Teacher Education/Multiple Levels, Construction Engineering, Engineering (General), Mechanical Engineering, Computer Engineering Technology/Technician, Construction Engineering Technology/Technician, Mechanical/Mechanical Engineering Technology/Technician, English Language and Literature (General), Professional/Technical/Business/Scientific Writing, Foreign Languages and Literatures (General), Sign Language Interpretation and Translation, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Health Services/Allied Health/Health Sciences (General), Public Health (Other), Registered Nursing/Registered Nurse, Vocational Rehabilitation Counseling/Counselor, History (General), Criminal Justice/Safety Studies, Law, Legal Studies, Humanities/Humanistic Studies, Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Sport and Fitness Administration/Management, Philosophy, Chemistry (General), Geology/Earth Science (General), Physical Sciences (General), Physics (General), Psychology (General), Community Organization and Advocacy, Public Administration, Public Administration and Social Service Professions (Other), Social Work, Anthropology (General), Political Science and Government (General), Sociology (General), Art/Art Studies (General), Dance (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music (General)"
Tieton Library,Yakima,Yakima Valley Libraries,Library,418 Maple St,Tieton,Washington,98947,US,[+1] 509-673-2621,http://www.yvl.org,"English, Spanish",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Lyon College,-91.625354,35.777619,"Biology/Biological Sciences (General), Business Administration and Management (General), Finance (General), Computer Science, Elementary Education and Teaching, English Language and Literature (General), Spanish Language and Literature, History (General), Mathematics (General), Exercise Science and Kinesiology, Chemistry (General), Psychology (General), Anthropology (General), Economics (General), Political Science and Government (General), Fine Arts and Art Studies (Other), Fine/Studio Arts (General), Music (General)"
South Park Branch,King,Seattle Public Library,Library,8604 Eighth Ave. S.,Seattle,Washington,98108,US,[+1] 206-615-1688,http://www.spl.org/locations/south-park-branch/spa-computers-and-equipment,"English, Spanish, Language Line Services",Wi-Fi,Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Arkansas,-94.176981,36.070009,"Agribusiness/Agricultural Business Operations, Agricultural and Extension Education Services, Agricultural Economics, Agricultural Production Operations (General), Agronomy and Crop Science, Animal Sciences (General), Food Science, Horticultural Science, Ornamental Horticulture, Plant Sciences (General), Poultry Science, Architecture, Landscape Architecture, Biology/Biological Sciences (General), Cell/Cellular and Molecular Biology, Entomology, Plant Pathology/Phytopathology, Accounting, Business Administration and Management (General), Business/Commerce (General), Business/Managerial Economics, Finance (General), Human Resources Development, International Business/Trade/Commerce, Logistics/Materials/Supply Chain Management, Management Science, Marketing/Marketing Management (General), Retail Management, Journalism, Public Relations/Advertising/Applied Communication, Speech Communication and Rhetoric, Computer and Information Sciences (General), Computer Science, Adult and Continuing Education Administration, Adult and Continuing Education and Teaching, Agricultural Teacher Education, Art Teacher Education, Community College Administration, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Education (General), Educational Leadership and Administration (General), Educational Statistics and Research Methods, Educational/Instructional Technology, Elementary Education and Teaching, Higher Education/Higher Education Administration, Kindergarten/Preschool Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, Social and Philosophical Foundations of Education, Special Education and Teaching (General), Teacher Education/Multiple Levels, Teaching English as a Second or Foreign Language/ESL Language Instructor, Technical Teacher Education, Agricultural Engineering, Bioengineering and Biomedical Engineering, Biological/Biosystems Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Electrical and Electronics Engineering, Engineering (General), Industrial Engineering, Materials Engineering, Mechanical Engineering, Engineering/Industrial Management, Creative Writing, English Language and Literature (General), Apparel and Textiles (General), Family and Consumer Sciences/Human Sciences (General), Foods/Nutrition/Wellness Studies (General), Human Development and Family Studies (General), Arabic Language and Literature, Classics and Classical Languages/Literatures/Linguistics (General), Comparative Literature, Foreign Languages/Literatures/Linguistics (Other), French Language and Literature, German Language and Literature, Spanish Language and Literature, Athletic Training/Trainer, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Dietetics/Dietitian, Health and Wellness (General), Nursing Practice, Public Health Education and Promotion, Public Health (General), Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Law, Legal Professions and Studies (Other), Mathematics (General), Statistics (General), Multi/Interdisciplinary Studies (General), Environmental Science, Exercise Science and Kinesiology, Parks/Recreation/Leisure Facilities Management (General), Parks/Recreation/Leisure Studies, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy, Chemistry (General), Geological and Earth Sciences/Geosciences (Other), Geology/Earth Science (General), Materials Chemistry, Materials Science, Physics (General), Planetary Astronomy and Science, Psychology (General), Public Administration, Public Policy Analysis (General), Social Work, Anthropology (General), Econometrics and Quantitative Economics, Economics (General), Geography, International Relations and Affairs, Political Science and Government (General), Sociology (General), Art History/Criticism and Conservation, Art/Art Studies (General), Design and Visual Communications (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Interior Design, Music Performance (General)"
North Fork Public Library,Whatcom,Whatcom County Library System,Library,7506 Kendall Road,Maple Falls,Washington,98266,US,[+1] 360-599-2020,http://www.wcls.org,English,Wi-Fi,None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Arkansas at Pine Bluff,-92.018683,34.244031,"Agricultural Production Operations (General), Aquaculture, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Journalism, Computer and Information Sciences (General), Early Childhood Education and Teaching, Educational Leadership and Administration (General), Family and Consumer Sciences/Home Economics Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Physical Education Teaching and Coaching, Science Teacher Education/General Science Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Levels and Methods (Other), Agricultural Engineering, Industrial Technology/Technician, English Language and Literature (General), Family and Consumer Sciences/Human Sciences (General), Registered Nursing/Registered Nurse, Rehabilitation and Therapeutic Professions (Other), Substance Abuse/Addiction Counseling, Criminal Justice/Safety Studies, General Studies, Environmental/Natural Resources Management and Policy (Other), Chemistry (General), Psychology (General), Social Work, Social Sciences (General), Art/Art Studies (General), Music (General)"
